"ID","OS","MEMORY_GB","CPU_CORES","DISK_GB","LOCATION","OWNER","PROVIDER","STATUS","LAST_UPDATED","TAGS"
"0996c22b-4726-46f6-9240-bf0f0f0c58da","Windows Server",170,46,160,"China","James Perez","Microsoft Azure","Running","2023-05-05 16:15:03.000","{""costCenter"":703,""instanceId"":""i-a40f4d-b2176-81468"",""name"":""put""}"
"09c7e5eb-4b25-4234-a1c3-2fc0534e10c5","Red Hat Enterprise Linux",88,20,597,"Indonesia","Donald Nelson","Google Cloud Platform","Running","2023-05-05 19:24:54.000","{""costCenter"":752,""instanceId"":""ef0-ff-24466ddf0208b6a"",""name"":""heavy""}"
"09ccadb9-b8bc-449b-ba45-cd99d190a0a7","Ubuntu",136,55,381,"Equatorial Guinea","Brian Contreras","Microsoft Azure","Stopped","2023-05-07 01:30:14.000","{""costCenter"":847,""instanceId"":""i-9f0833-540ba-c385f"",""name"":""issue""}"
"09eac528-e1c5-4c30-acb8-84b9c7a50dc5","Windows Server",15,33,3148,"Congo","Felicia Callahan","Google Cloud Platform","Paused","2023-05-06 23:50:32.000","{""costCenter"":909,""instanceId"":""832-fc-248205f13164bdc"",""name"":""my""}"
"0b003db3-f737-4aa3-ad6a-d6e7d52b1bbb","Debian",201,25,3279,"Nepal","Mackenzie Neal","Microsoft Azure","Running","2023-05-02 10:48:41.000","{""costCenter"":727,""instanceId"":""i-6cd718-01e01-8e966"",""name"":""civil""}"
"0b33fcb1-99ce-4f3b-a7a0-21bb7d7d8e5d","Red Hat Enterprise Linux",206,3,2287,"Mayotte","Adam Gallagher","Google Cloud Platform","Stopped","2023-05-04 13:56:37.000","{""costCenter"":737,""instanceId"":""ea7-f4-8f29d6d2460cc1f"",""name"":""today""}"
"0b5641ca-2d1b-4b71-8cc9-afc9e0fd1209","Red Hat Enterprise Linux",15,57,421,"Turkmenistan","Jeremiah Wu","Microsoft Azure","Running","2023-05-03 19:22:27.000","{""costCenter"":419,""instanceId"":""i-832e21-fb33a-8e9b3"",""name"":""push""}"
"0ba1085a-2427-4e62-9e12-a630b5e3d6fe","Red Hat Enterprise Linux",138,15,2674,"Guyana","Mario Copeland","Microsoft Azure","Running","2023-05-04 00:07:28.000","{""costCenter"":275,""instanceId"":""i-c33406-fa3d9-cdad3"",""name"":""some""}"
"0be20124-d07f-49d7-a360-40d6d8f36d59","Red Hat Enterprise Linux",168,59,1782,"United States of America","Briana Alvarado","Google Cloud Platform","Paused","2023-05-03 17:08:14.000","{""costCenter"":984,""instanceId"":""d46-41-5e2a4875c8c278b"",""name"":""left""}"
"0c66c8b0-78d4-42a2-a412-0fd3000fe82a","Windows Server",7,50,852,"Saint Barthelemy","Christian Mcintosh","Microsoft Azure","Paused","2023-05-04 20:12:59.000","{""costCenter"":553,""instanceId"":""i-a38c3e-57336-6f79b"",""name"":""would""}"
"0cd50d49-b5e1-4680-a1e5-c881a61b69f0","Debian",256,38,2210,"Monaco","Joyce Perkins","Google Cloud Platform","Running","2023-05-08 14:17:27.000","{""costCenter"":614,""instanceId"":""947-3e-3eabc9e128c540f"",""name"":""follow""}"
"0d31eccf-eb74-45ab-81ba-9db82e743d27","Red Hat Enterprise Linux",5,24,3243,"Thailand","Christopher King","Microsoft Azure","Stopped","2023-05-03 15:08:52.000","{""costCenter"":982,""instanceId"":""i-cfee85-b7ec1-95193"",""name"":""class""}"
"0d429e4a-fad6-4514-904f-d3188fff2db0","Windows Server",117,56,786,"Oman","Melissa Spencer","Microsoft Azure","Paused","2023-05-04 14:07:55.000","{""costCenter"":206,""instanceId"":""i-7e90d2-7c043-73b49"",""name"":""him""}"
"0dca2eed-754a-41ad-a3b9-07cb2387dffb","Windows Server",185,62,2648,"Switzerland","James Collins","Google Cloud Platform","Stopped","2023-05-08 23:19:08.000","{""costCenter"":875,""instanceId"":""5ee-21-4fc7293783de198"",""name"":""decade""}"
"0dec3dd3-919c-492d-8d05-2b46776d553b","Debian",242,2,2120,"British Indian Ocean Territory (Chagos Archipelago)","Ashley Newman","Amazon Web Services","Paused","2023-05-07 07:00:50.000","{""costCenter"":967,""instanceId"":""i-692a0de8"",""name"":""believe""}"
"0df732d5-dcef-4ff9-941d-7881da3cc9db","Windows Server",153,16,317,"Saint Vincent and the Grenadines","Daisy Lynn","Google Cloud Platform","Stopped","2023-05-05 13:28:52.000","{""costCenter"":999,""instanceId"":""812-db-cd7e5fa91ced0b9"",""name"":""require""}"
"0ee589c4-c8b1-41a9-81ee-394e69f22a22","CentOS",211,41,2301,"Fiji","Margaret Hamilton","Amazon Web Services","Stopped","2023-05-06 21:53:29.000","{""costCenter"":576,""instanceId"":""i-80512ea2"",""name"":""finish""}"
"0f6376d5-e9a7-4229-aa18-08aed5aca128","CentOS",73,33,974,"France","Dawn Burns","Google Cloud Platform","Paused","2023-05-05 00:15:09.000","{""costCenter"":341,""instanceId"":""5c3-43-679de628c2b8e87"",""name"":""nearly""}"
"0faceaa2-7cc0-420e-bd54-b6e7f1b787b2","CentOS",256,28,2879,"Palau","Frank Turner","Google Cloud Platform","Paused","2023-05-05 04:55:03.000","{""costCenter"":973,""instanceId"":""faa-e0-dee093cfd5e07ba"",""name"":""hour""}"
"0fef43f9-8d81-46b1-8303-38bb750e604d","Windows Server",248,55,1068,"Chile","Brandy Bailey","Amazon Web Services","Running","2023-05-05 22:21:38.000","{""costCenter"":329,""instanceId"":""i-72179666"",""name"":""job""}"
"0ff24b8d-076b-4bae-bc7a-c351d26a81d8","Ubuntu",248,60,2231,"French Guiana","Sue Sutton","Amazon Web Services","Stopped","2023-05-04 02:34:35.000","{""costCenter"":320,""instanceId"":""i-776ceb65"",""name"":""former""}"
"10c4adf9-8329-44f8-b3ae-ae8ed4474ad9","Red Hat Enterprise Linux",242,11,3302,"Marshall Islands","Tracey Jones","Google Cloud Platform","Stopped","2023-05-09 00:01:56.000","{""costCenter"":316,""instanceId"":""c6a-88-373bb98bd93fbd3"",""name"":""idea""}"
"115bcb66-fd8c-40c2-a8ea-e7aeb51c513a","Red Hat Enterprise Linux",70,43,1259,"Italy","Johnny Harris","Microsoft Azure","Stopped","2023-05-06 11:19:41.000","{""costCenter"":680,""instanceId"":""i-56613a-123ea-1c128"",""name"":""in""}"
"125e886a-8277-41b6-9e0f-cdd2132fb89d","CentOS",137,31,713,"New Zealand","Laurie Rivera","Google Cloud Platform","Paused","2023-05-05 16:07:30.000","{""costCenter"":966,""instanceId"":""831-2f-b29eb024d47228c"",""name"":""today""}"
"12884c01-aeb4-40f2-8c5d-817a570dcf90","Debian",112,59,3335,"Afghanistan","Christie Dawson","Amazon Web Services","Running","2023-05-01 15:45:59.000","{""costCenter"":802,""instanceId"":""i-aee0e963"",""name"":""value""}"
"136a4cc8-a88a-45bd-b675-1e4cfff4b734","Ubuntu",180,57,3062,"Cuba","Matthew Duarte","Google Cloud Platform","Stopped","2023-05-01 05:18:27.000","{""costCenter"":248,""instanceId"":""b23-7d-a8d3967fdf1cef1"",""name"":""reflect""}"
"13d38ea9-1770-4f20-abbb-f2680a89f7d5","Red Hat Enterprise Linux",245,28,1704,"Tunisia","Anthony Martinez","Microsoft Azure","Paused","2023-05-08 14:28:55.000","{""costCenter"":798,""instanceId"":""i-8e57b3-59603-c7027"",""name"":""worker""}"
"1482accb-cd75-4ac4-893e-cbc42335cb6a","CentOS",226,28,2934,"Dominica","Jonathan Pennington","Microsoft Azure","Paused","2023-05-01 01:15:14.000","{""costCenter"":651,""instanceId"":""i-ec593e-c8eaf-2a23c"",""name"":""responsibility""}"
"14a67d16-3674-4cfc-97b6-fedb4e443659","Debian",61,39,192,"Congo","Wanda Thompson","Microsoft Azure","Running","2023-05-09 17:31:37.000","{""costCenter"":277,""instanceId"":""i-218e89-a2272-177aa"",""name"":""spend""}"
"14c7fb6b-a6fe-4709-ab5a-58dd9dfe5bab","Ubuntu",217,28,2892,"Chile","Alexis Ferguson","Microsoft Azure","Running","2023-05-04 21:01:50.000","{""costCenter"":254,""instanceId"":""i-fcf935-ec8bf-06ffb"",""name"":""enough""}"
"14e54715-8ed7-44f7-8133-e9bc2d0e113f","CentOS",200,14,2191,"Saint Pierre and Miquelon","Jose Nelson","Amazon Web Services","Running","2023-05-03 08:04:22.000","{""costCenter"":862,""instanceId"":""i-49e29c00"",""name"":""take""}"
"151af7e8-adc4-4acf-8eff-03d06347dbbe","Red Hat Enterprise Linux",174,27,2537,"Taiwan","Robert Mitchell","Amazon Web Services","Stopped","2023-05-07 14:36:28.000","{""costCenter"":472,""instanceId"":""i-5c1fd172"",""name"":""similar""}"
"153409e2-2395-4ad6-9fee-b8b6342d9631","Windows Server",165,22,2621,"Ghana","Raymond Warren","Microsoft Azure","Stopped","2023-05-05 12:35:09.000","{""costCenter"":972,""instanceId"":""i-97c789-5c5f2-2b664"",""name"":""unit""}"
"1546b832-8ad1-4e0a-bf3c-c48cbe657109","Debian",61,37,1838,"Panama","Douglas Reeves","Amazon Web Services","Paused","2023-05-01 04:00:10.000","{""costCenter"":777,""instanceId"":""i-1f306858"",""name"":""test""}"
"15873328-3d62-41b9-96e5-0eb9cf867ceb","Red Hat Enterprise Linux",201,8,1776,"Botswana","Tanya Wood","Google Cloud Platform","Running","2023-05-02 00:43:12.000","{""costCenter"":711,""instanceId"":""bbd-d7-7a327cdccd3a18d"",""name"":""great""}"
"161ddec0-9689-42c6-933c-38417d0b682c","CentOS",122,25,2956,"Venezuela","Brian Mendez","Google Cloud Platform","Stopped","2023-05-07 23:29:54.000","{""costCenter"":360,""instanceId"":""888-a6-05f8731e17583b6"",""name"":""staff""}"
"16e658d3-61e4-4256-9c66-f64921572997","Red Hat Enterprise Linux",239,50,556,"Saint Kitts and Nevis","Isaac Foley","Amazon Web Services","Stopped","2023-05-06 14:08:27.000","{""costCenter"":727,""instanceId"":""i-edd22de7"",""name"":""food""}"
"174bfe13-5274-4508-b714-de300cfc7bab","Debian",36,59,2590,"Kiribati","Carolyn Jones","Microsoft Azure","Paused","2023-05-08 01:08:29.000","{""costCenter"":654,""instanceId"":""i-b5eca9-83ede-7896f"",""name"":""door""}"
"1751e091-7c96-46b3-9660-1ca595390d13","Windows Server",247,55,1114,"Niger","Dawn Fox","Microsoft Azure","Stopped","2023-05-07 06:50:33.000","{""costCenter"":665,""instanceId"":""i-8eb928-f70d8-4ee09"",""name"":""while""}"
"17587780-a5c9-47e0-8d7a-01b8a7b93484","CentOS",179,11,1074,"Libyan Arab Jamahiriya","Robert Johnson","Microsoft Azure","Running","2023-05-03 03:23:23.000","{""costCenter"":125,""instanceId"":""i-4100b8-60d0d-63fdb"",""name"":""win""}"
"1779fd9c-1464-43d8-af72-28be79256708","Red Hat Enterprise Linux",107,34,3379,"Philippines","Jared Garrett","Google Cloud Platform","Stopped","2023-05-03 02:48:24.000","{""costCenter"":734,""instanceId"":""bb1-e5-0960bf98ec1bd49"",""name"":""thus""}"
"17e12c2f-416c-4c44-95fe-5f89e163cde3","CentOS",185,22,3401,"Holy See (Vatican City State)","Jessica Hill","Microsoft Azure","Stopped","2023-05-04 15:41:55.000","{""costCenter"":194,""instanceId"":""i-d2cbd0-3574f-f91b7"",""name"":""involve""}"
"18a17982-49a8-4bb3-a94f-4071f83e7ab8","Debian",137,52,2236,"Liechtenstein","Elizabeth Martinez","Google Cloud Platform","Running","2023-05-02 07:46:30.000","{""costCenter"":411,""instanceId"":""82f-18-b730f35bb6aaff7"",""name"":""than""}"
"18ca565c-dd73-4911-92bc-4c610b931db5","Red Hat Enterprise Linux",207,26,2086,"Central African Republic","Theresa Gonzalez","Microsoft Azure","Running","2023-05-03 04:31:54.000","{""costCenter"":599,""instanceId"":""i-101fd1-a3194-e31c4"",""name"":""quickly""}"
"193a8fa1-2a02-4f6d-905d-0a789bb2965a","Debian",134,18,2473,"Malaysia","Michael Alvarez","Amazon Web Services","Paused","2023-05-01 19:44:48.000","{""costCenter"":375,""instanceId"":""i-4021bc71"",""name"":""her""}"
"1a38f8ab-ca53-4d4a-aae1-0b33e244f4f8","Red Hat Enterprise Linux",241,56,2007,"Macao","Jacqueline Cunningham","Amazon Web Services","Paused","2023-05-09 07:24:55.000","{""costCenter"":645,""instanceId"":""i-78dd36ea"",""name"":""instead""}"
"1a411672-b76e-4e4f-8804-c5efc6dc8a9f","Ubuntu",83,8,521,"Uzbekistan","Kelly Fritz","Google Cloud Platform","Stopped","2023-05-08 00:49:14.000","{""costCenter"":139,""instanceId"":""811-7a-0e1c5b9de78aa47"",""name"":""bed""}"
"1a4aa6c9-518d-496b-89bf-af2721c567d7","Debian",87,12,3410,"Ecuador","Adam Skinner","Microsoft Azure","Running","2023-05-02 19:10:35.000","{""costCenter"":471,""instanceId"":""i-edefbb-45f44-b1075"",""name"":""almost""}"
"1b3558dd-fd37-4962-a6f8-a4508e364092","Ubuntu",33,44,3722,"Palau","Amber Payne","Amazon Web Services","Running","2023-05-07 03:08:08.000","{""costCenter"":231,""instanceId"":""i-39d6c9cc"",""name"":""charge""}"
"1b46099e-ffc8-48d5-9b0a-57b7ee47dee7","Debian",127,13,2517,"Aruba","Sherri Schmitt","Amazon Web Services","Paused","2023-05-02 18:36:56.000","{""costCenter"":746,""instanceId"":""i-0034fbdd"",""name"":""save""}"
"1b480c9c-0261-4132-a705-49b534e1f889","CentOS",157,57,2908,"Bolivia","Ryan Zhang","Microsoft Azure","Stopped","2023-05-04 16:48:49.000","{""costCenter"":727,""instanceId"":""i-2afa98-4772f-cc37b"",""name"":""director""}"
"1c2690d3-4034-41ba-8089-f8f42aa948e0","Ubuntu",91,10,1127,"Paraguay","Melissa Lopez","Microsoft Azure","Paused","2023-05-05 15:26:57.000","{""costCenter"":746,""instanceId"":""i-1ca045-bf627-e3397"",""name"":""create""}"
"1c362dc6-8376-493e-9cd6-c3251ae5fb4f","Windows Server",53,1,3700,"Syrian Arab Republic","Steven Ward","Amazon Web Services","Running","2023-05-03 17:16:14.000","{""costCenter"":631,""instanceId"":""i-dfbef862"",""name"":""environment""}"
"1c46c5c9-335f-44b1-9086-ac1bf8604c48","Ubuntu",18,9,56,"Netherlands","Shannon Dixon","Amazon Web Services","Paused","2023-05-03 00:44:31.000","{""costCenter"":305,""instanceId"":""i-200f8f7d"",""name"":""own""}"
"1c77bcfd-d165-4c41-bf1e-d6735e0d1d52","Red Hat Enterprise Linux",215,4,134,"Gibraltar","Robert Chen","Google Cloud Platform","Stopped","2023-05-02 15:31:42.000","{""costCenter"":201,""instanceId"":""72e-68-80f3dc73609ce5e"",""name"":""difficult""}"
"1d397d63-8348-4709-91ad-2988557d2918","Ubuntu",165,60,1682,"Japan","Gregory Arroyo","Google Cloud Platform","Running","2023-05-09 01:38:57.000","{""costCenter"":966,""instanceId"":""710-16-4e20af5fbb254ac"",""name"":""term""}"
"1d8bc6ec-7a37-442f-b88a-5d676b9f5574","Windows Server",20,12,2826,"Korea","Mary Morgan","Microsoft Azure","Paused","2023-05-07 21:20:06.000","{""costCenter"":517,""instanceId"":""i-797fd9-d933f-01b5b"",""name"":""should""}"
"1dc8394c-0c76-4b77-ae65-647cbb9ceb37","Windows Server",232,5,3234,"Marshall Islands","Jon Vargas","Amazon Web Services","Stopped","2023-05-06 07:56:06.000","{""costCenter"":501,""instanceId"":""i-ec95a3b8"",""name"":""front""}"
"1dc8bdb1-8fce-4e18-bb4f-08584239f429","Ubuntu",192,33,603,"Argentina","Angela Bridges","Microsoft Azure","Stopped","2023-05-08 05:24:29.000","{""costCenter"":600,""instanceId"":""i-7a24f7-9a009-49cd5"",""name"":""college""}"
"1def187d-846d-4931-a8b1-e04f4f39895e","Windows Server",218,35,1127,"Liberia","Jennifer White","Google Cloud Platform","Paused","2023-05-01 20:39:37.000","{""costCenter"":424,""instanceId"":""2c4-ba-1a2579b8511489e"",""name"":""talk""}"
"1ec8c938-8e30-4455-a19e-b6296a3f369c","Debian",56,50,3203,"British Indian Ocean Territory (Chagos Archipelago)","Barbara Garcia","Amazon Web Services","Paused","2023-05-09 10:40:32.000","{""costCenter"":965,""instanceId"":""i-0db39544"",""name"":""figure""}"
"1ee1ab94-18ff-4e7a-ac82-3058dfde1ab3","Ubuntu",215,4,3778,"Somalia","Amy Williams","Google Cloud Platform","Stopped","2023-05-08 06:28:44.000","{""costCenter"":719,""instanceId"":""7b8-70-c1bc05db367d894"",""name"":""western""}"
"1f567e57-0231-4e5a-ab65-407d3fce6d8f","Debian",154,50,2070,"Guinea","Katrina Melendez","Amazon Web Services","Paused","2023-05-05 04:28:26.000","{""costCenter"":113,""instanceId"":""i-bea40af8"",""name"":""fact""}"
"1fbc1464-a5c7-447a-be2f-f9b68dcce612","Ubuntu",96,10,2653,"Lao People's Democratic Republic","Jessica Johnson","Amazon Web Services","Paused","2023-05-06 05:46:11.000","{""costCenter"":615,""instanceId"":""i-88f4a941"",""name"":""first""}"
"2012aa3c-63cd-4ea2-9887-226f6873ee2c","Windows Server",4,3,1818,"Barbados","Cody Brock","Amazon Web Services","Paused","2023-05-08 20:18:26.000","{""costCenter"":523,""instanceId"":""i-760731fc"",""name"":""population""}"
"204c0dfd-b65a-4e6a-8b60-c777df47242b","Debian",225,58,1144,"Azerbaijan","Clifford Fisher","Amazon Web Services","Paused","2023-05-01 12:27:27.000","{""costCenter"":943,""instanceId"":""i-cdd9eaf8"",""name"":""property""}"
"213399e6-25d6-494e-9826-5cc6f784e54b","CentOS",38,8,2264,"Samoa","Katrina Bennett","Amazon Web Services","Running","2023-05-06 09:35:35.000","{""costCenter"":809,""instanceId"":""i-9ae67665"",""name"":""certain""}"
"21724707-216d-406f-866d-db93b4a23a76","Ubuntu",137,61,3633,"Bermuda","Ronald Anderson","Google Cloud Platform","Stopped","2023-05-03 03:27:01.000","{""costCenter"":431,""instanceId"":""a4a-70-252d8506e9917b5"",""name"":""understand""}"
"21ea09b7-8720-4e4c-98c3-8b8a9c1f581d","Debian",24,7,2308,"Nauru","Karen Brown","Google Cloud Platform","Running","2023-05-09 11:46:07.000","{""costCenter"":355,""instanceId"":""ef0-05-88a07894d61df1e"",""name"":""bit""}"
"224e2aa5-1ab2-4cdb-94ef-092955a2fb3d","CentOS",36,2,2616,"Macedonia","Devin Brown","Google Cloud Platform","Paused","2023-05-08 16:05:17.000","{""costCenter"":900,""instanceId"":""8c4-7a-1c5abd7e00e7066"",""name"":""your""}"
"22848f8b-cd2d-4a73-a10f-ac4839c842e1","Red Hat Enterprise Linux",236,15,1321,"Afghanistan","Ray Shaffer","Amazon Web Services","Stopped","2023-05-02 13:56:06.000","{""costCenter"":665,""instanceId"":""i-d1c47f65"",""name"":""over""}"
"22a7b984-b55a-4af7-9025-e3c627b2702b","CentOS",163,32,2801,"Togo","Mary Martin","Google Cloud Platform","Paused","2023-05-06 11:51:13.000","{""costCenter"":878,""instanceId"":""033-9a-b5acd7929b130e5"",""name"":""under""}"
"22d95b5b-d1b9-4536-a07b-168ac564825a","CentOS",43,20,2728,"Niue","Jeffrey Fischer","Amazon Web Services","Paused","2023-05-03 23:27:11.000","{""costCenter"":916,""instanceId"":""i-0485072c"",""name"":""always""}"
"22edefd6-45f1-42a4-9a90-99adcb7dbaee","Red Hat Enterprise Linux",226,8,606,"Syrian Arab Republic","Alan Jackson","Google Cloud Platform","Running","2023-05-03 13:40:42.000","{""costCenter"":820,""instanceId"":""e4b-0c-445263858a7e847"",""name"":""plan""}"
"23544234-0c4f-46b6-8149-6e7c975fb946","Red Hat Enterprise Linux",199,14,1318,"Faroe Islands","Jessica Howard","Microsoft Azure","Stopped","2023-05-07 10:00:31.000","{""costCenter"":821,""instanceId"":""i-d6c5b2-8b1df-dc1af"",""name"":""hit""}"
"23ab26f0-8bdd-4582-83f1-f5abcb4fbbc0","CentOS",4,21,2561,"Bahamas","Crystal Wilson","Google Cloud Platform","Stopped","2023-05-01 22:40:16.000","{""costCenter"":392,""instanceId"":""91d-72-308f0c689d69c56"",""name"":""front""}"
"23c60bd1-5a6e-496d-9ca5-c76f5d80614a","Ubuntu",122,40,553,"Austria","Douglas Adams","Amazon Web Services","Stopped","2023-05-03 20:36:44.000","{""costCenter"":898,""instanceId"":""i-c6d64c84"",""name"":""eye""}"
"2421f6cd-44ee-4136-99d9-9ca4e8120aac","Red Hat Enterprise Linux",22,32,1075,"Tunisia","Philip Henderson","Microsoft Azure","Paused","2023-05-04 05:24:38.000","{""costCenter"":330,""instanceId"":""i-b7cd47-72d28-61249"",""name"":""fly""}"
"24d21e87-e459-4bfd-b90e-150aeb7eeae4","Debian",10,40,2294,"Japan","Cheryl Jones","Google Cloud Platform","Paused","2023-05-06 01:55:08.000","{""costCenter"":770,""instanceId"":""60e-2b-23aa496dd2314ef"",""name"":""thing""}"
"24d4807c-72b3-4b6f-81a9-4ed07aef1a40","CentOS",87,13,3315,"Mexico","Gabriel Jones","Amazon Web Services","Running","2023-05-02 21:14:16.000","{""costCenter"":736,""instanceId"":""i-8d157997"",""name"":""share""}"
"2505f0af-2044-4a57-9b46-aa61be6bc499","Debian",19,62,3346,"New Zealand","Zachary West","Microsoft Azure","Stopped","2023-05-09 13:57:52.000","{""costCenter"":640,""instanceId"":""i-3d83fe-79c9c-f1658"",""name"":""western""}"
"2539e00a-d584-43b0-beb9-f27d99a2280c","Debian",232,30,2669,"Andorra","Summer Holmes","Microsoft Azure","Running","2023-05-08 06:03:58.000","{""costCenter"":829,""instanceId"":""i-d86f8d-6127f-65701"",""name"":""most""}"
"255dc911-7dd7-48c8-9db5-b36fdde348f0","Windows Server",36,26,3349,"Nicaragua","Michael Price","Google Cloud Platform","Paused","2023-05-03 04:01:58.000","{""costCenter"":270,""instanceId"":""e95-e6-ec0aa3326c3edda"",""name"":""work""}"
"25960cd0-de05-4f95-af4c-57d032d410f7","CentOS",162,54,31,"Switzerland","Ann Torres","Google Cloud Platform","Stopped","2023-05-03 06:25:39.000","{""costCenter"":696,""instanceId"":""5e9-01-2f24c412b4fe8b8"",""name"":""next""}"
